"Designator","Footprint","SPN"
"C4,C9","C_0402_1005Metric","C15195"
"C1,C3","C_0805_2012Metric","C28233"
"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25","C_0805_2012Metric","C215803"
"C6,C7","C_1206_3216Metric","C29823"
"C2,C8,C10","C_0805_2012Metric","C440198"
"C5","CP_Elec_10x10","C251022"
"D1","D_SMA","C110042"
"D2","D_SOD-123F","C8598"
"F1","XFCN_PTF-77","C717030"
"FB1,FB2","L_1206_3216Metric","C337884"
"J1","XUNPU_DC-005-A200","C720557"
"J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right","C780062"
"J17","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left","C2883763"
"J18,J19,J20,J21","PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left","C2883760"
"L1","L_1008_2520Metric","C576403"
"Q2,Q3,Q4","SOT-23","C20917"
"Q1","Diodes_PowerDI3333-8","C461090"
"R10,R32","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C21189"
"R6,R7,R8","R_0402_1005Metric","C102864"
"R9","R_0402_1005Metric","C25900"
"R1,R2,R5,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R33","R_0402_1005Metric","C25744"
"R4","R_0402_1005Metric","C26956"
"R3","R_0402_1005Metric","C25897"
"U3","SOT-223-3_TabPin2","C6187"
"U2","SOT-23-6","C41240"
"U1","ESP32-WROOM-32D","C701342"
