Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",120.3250,-103.6500,90.0000,top
"C2","10u","C_0805_2012Metric",111.7600,-69.3200,90.0000,top
"C3","100n","C_0805_2012Metric",123.0250,-103.6500,90.0000,top
"C4","10n","C_0402_1005Metric",109.4000,-68.5100,90.0000,top
"C5","470u","CP_Elec_10x10",142.2000,-105.8000,270.0000,top
"C6","4u7","C_1206_3216Metric",127.6000,-105.9000,270.0000,top
"C7","4u7","C_1206_3216Metric",141.2800,-89.7000,180.0000,top
"C8","10u","C_0805_2012Metric",136.4000,-85.8000,270.0000,top
"C9","10n","C_0402_1005Metric",130.2800,-100.2000,180.0000,top
"C10","10u","C_0805_2012Metric",132.2000,-105.3000,270.0000,top
"C11","1u","C_0805_2012Metric",179.9000,-63.9900,0.0000,top
"C12","1u","C_0805_2012Metric",165.9000,-103.9900,0.0000,top
"C13","1u","C_0805_2012Metric",151.9000,-83.9900,0.0000,top
"C14","1u","C_0805_2012Metric",158.9000,-83.9900,0.0000,top
"C15","1u","C_0805_2012Metric",165.9000,-83.9900,0.0000,top
"C16","1u","C_0805_2012Metric",172.9000,-83.9900,0.0000,top
"C17","1u","C_0805_2012Metric",179.9000,-83.9900,0.0000,top
"C18","1u","C_0805_2012Metric",158.9000,-103.9900,0.0000,top
"C19","1u","C_0805_2012Metric",172.9000,-103.9900,0.0000,top
"C20","1u","C_0805_2012Metric",158.9000,-63.9900,0.0000,top
"C21","1u","C_0805_2012Metric",165.9000,-63.9900,0.0000,top
"C22","1u","C_0805_2012Metric",172.9000,-63.9900,0.0000,top
"C23","1u","C_0805_2012Metric",179.9000,-103.9900,0.0000,top
"C24","1u","C_0805_2012Metric",151.9000,-103.9900,0.0000,top
"C25","1u","C_0805_2012Metric",151.9000,-63.9900,0.0000,top
"D1","12V","D_SMA",113.0000,-104.3000,90.0000,top
"D2","SS15","D_SOD-123F",130.0000,-105.8000,270.0000,top
"F1","Holder","XFCN_PTF-77",112.1500,-114.0000,0.0000,top
"FB1","120R @ 100MHz","L_1206_3216Metric",121.7250,-106.6000,0.0000,top
"FB2","120R @ 100MHz","L_1206_3216Metric",121.7250,-100.7000,180.0000,top
"J1","Barrel_Jack","XUNPU_DC-005-A200",108.8000,-107.0000,0.0000,top
"J2","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",151.8450,-70.9900,0.0000,top
"J3","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",158.8450,-70.9900,0.0000,top
"J4","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",165.8450,-70.9900,0.0000,top
"J5","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",172.8450,-70.9900,0.0000,top
"J6","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",151.8450,-90.9900,0.0000,top
"J7","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",158.8450,-90.9900,0.0000,top
"J8","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",165.8450,-90.9900,0.0000,top
"J9","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",172.8450,-90.9900,0.0000,top
"J10","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",151.8450,-110.9900,0.0000,top
"J11","Fan","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",158.8450,-110.9900,0.0000,top
